review_id,restaurant_id,user_id,rating
1,259,2522,1
2,282,418,2
3,1,842,4
4,922,2623,3
5,445,7852,2
6,707,3523,2
7,589,8176,3
8,607,2175,2
9,93,4770,1
10,565,3051,5
11,288,8662,3
12,307,4933,4
13,19,474,4
14,965,7206,3
15,363,485,2
16,412,6102,1
17,244,9692,2
18,410,5744,4
19,825,7909,1
20,159,9924,5
21,162,108,4
22,629,9608,3
23,256,4204,4
24,186,1113,1
25,921,9171,2
26,10,6370,4
27,908,5238,2
28,794,2941,4
29,777,496,2
30,300,758,2
31,963,2269,3
32,245,7198,2
33,546,3425,5
34,18,8291,3
35,317,1897,5
36,819,4364,1
37,280,2283,3
38,805,6326,4
39,279,2577,4
40,839,2652,5
41,715,8651,1
42,539,5323,1
43,806,1751,3
44,793,1126,1
45,222,8423,3
46,641,5073,3
47,620,2858,3
48,599,6917,4
49,308,23,3
50,257,9520,4
51,615,6294,1
52,463,9678,4
53,152,901,1
54,172,229,2
55,412,3199,1
56,767,5656,5
57,140,6393,2
58,383,7029,4
59,667,4446,1
60,925,364,1
61,118,325,4
62,64,4245,2
63,107,8095,2
64,450,5275,4
65,811,9762,4
66,156,1884,5
67,682,5062,3
68,922,2194,3
69,179,8643,1
70,276,667,3
71,526,5668,5
72,111,8898,5
73,897,9046,4
74,217,2742,2
75,807,2725,3
76,323,7789,5
77,498,300,1
78,592,3155,5
79,588,2047,5
80,979,3256,4
81,557,858,3
82,341,8966,2
83,768,6101,4
84,663,1931,2
85,574,4195,2
86,64,4115,3
87,428,8216,4
88,569,4364,2
89,430,7494,1
90,300,1771,2
91,131,9478,5
92,261,1471,2
93,223,8827,2
94,465,567,2
95,249,2729,1
96,123,9928,1
97,182,2352,5
98,880,2535,1
99,911,4094,2
100,272,4670,5
101,640,3831,3
102,526,7884,4
103,529,2816,4
104,69,2573,1
105,149,1519,2
106,123,9851,3
107,900,4450,2
108,969,292,4
109,83,2980,4
110,718,628,5
111,388,1724,5
112,845,1738,1
113,736,6974,2
114,597,4106,1
115,348,3505,4
116,687,6104,3
117,215,1155,4
118,815,5584,5
119,383,4719,5
120,929,371,4
121,683,6454,3
122,264,2135,4
123,871,7704,3
124,525,4288,1
125,378,4827,5
126,123,5757,2
127,407,3404,4
128,877,9358,1
129,81,376,3
130,780,1074,1
131,390,2973,1
132,944,6682,2
133,774,5614,4
134,836,1016,3
135,97,1377,2
136,88,2366,1
137,825,9425,4
138,582,3710,2
139,574,2352,1
140,784,2284,4
141,240,3832,4
142,562,8279,2
143,973,2464,3
144,648,1143,2
145,54,6255,4
146,698,2708,4
147,656,7559,1
148,484,1319,4
149,68,1972,1
150,781,9778,2
151,839,8336,2
152,405,1188,5
153,573,5851,3
154,177,2322,2
155,4,9785,5
156,875,3887,4
157,610,2777,1
158,843,9489,2
159,563,17,5
160,866,5128,5
161,245,2841,3
162,507,6212,4
163,252,4911,3
164,208,4584,2
165,191,7452,3
166,270,473,2
167,212,1973,5
168,737,1176,5
